"provincia","count","lc0_desc","lc1_desc","lu1_desc"
"Cuenca","3","Woodland","Broadleaved woodland","Semi-natural and natural areas not in use"
"Cuenca","2","Woodland","Other mixed woodland","Semi-natural and natural areas not in use"
"Cuenca","2","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","2","Woodland","Pine dominated mixed woodland","Semi-natural and natural areas not in use"
"Cuenca","2","Cropland","Durum wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","2","Grassland","Grassland without tree/shrub cover","Semi-natural and natural areas not in use"
"Cuenca","2","Grassland","Grassland with sparse tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","1","Cropland","Vineyards","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","1","Shrubland","Shrubland with sparse tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","1","Artificial land","Other artificial areas","Electricity gas and thermal power distribution"
"Cuenca","1","Cropland","Nuts trees","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","1","Artificial land","Non built-up linear features","Road transport"
"Cuenca","1","Grassland","Grassland with sparse tree/shrub cover","Semi-natural and natural areas not in use"
"Cuenca","1","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","1","Grassland","Spontaneously re-vegetated surfaces","Semi-natural and natural areas not in use"
"Cuenca","1","Grassland","Spontaneously re-vegetated surfaces","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","1","Cropland","Oats","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","1","Bareland","Other bare soil","Agriculture (excluding fallow land and kitchen gardens)"
"Gipuzkoa","5","Woodland","Broadleaved woodland","Forestry"
"Gipuzkoa","4","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Gipuzkoa","3","Woodland","Pine dominated coniferous woodland","Forestry"
"Girona","2","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Girona","2","Cropland","Lucerne","Agriculture (excluding fallow land and kitchen gardens)"
"Girona","1","Bareland","Other bare soil","Fallow land"
"Girona","1","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Girona","1","Cropland","Maize","Agriculture (excluding fallow land and kitchen gardens)"
"Girona","1","Woodland","Broadleaved woodland","Forestry"
"Girona","1","Cropland","Oats","Agriculture (excluding fallow land and kitchen gardens)"
"Girona","1","Cropland","Nurseries","Forestry"
"Girona","1","Cropland","Temporary grassland","Agriculture (excluding fallow land and kitchen gardens)"
"Granada","33","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Granada","10","Woodland","Pine dominated coniferous woodland","Forestry"
"Granada","8","Cropland","Nuts trees","Agriculture (excluding fallow land and kitchen gardens)"
"Granada","6","Bareland","Other bare soil","Fallow land"
"Granada","4","Woodland","Broadleaved woodland","Semi-natural and natural areas not in use"
"Granada","3","Grassland","Spontaneously re-vegetated surfaces","Agriculture (excluding fallow land and kitchen gardens)"
"Granada","3","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Granada","3","Shrubland","Shrubland without tree cover","Semi-natural and natural areas not in use"
"Granada","3","Grassland","Spontaneously re-vegetated surfaces","Fallow land"
"Granada","2","Grassland","Grassland without tree/shrub cover","Semi-natural and natural areas not in use"
"Granada","2","Bareland","Other bare soil","Agriculture (excluding fallow land and kitchen gardens)"
"Granada","1","Cropland","Olive groves","Other abandoned areas"
"Granada","1","Cropland","Oats","Agriculture (excluding fallow land and kitchen gardens)"
"Granada","1","Woodland","Broadleaved woodland","Forestry"
"Granada","1","Shrubland","Shrubland with sparse tree cover","Forestry"
"Guadalajara","32","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Guadalajara","16","Bareland","Other bare soil","Fallow land"
"Guadalajara","10","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Guadalajara","10","Shrubland","Shrubland without tree cover","Semi-natural and natural areas not in use"
"Guadalajara","8","Grassland","Spontaneously re-vegetated surfaces","Fallow land"
"Guadalajara","5","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
