id,datoid,band,long,lat,read,map,map_rescaled
40091,4570,12,1.7871083130396501,38.79088788942411,13.67,1301.5,0.13015
40092,7622,03,4.1765798198215744,38.91696578338877,1.8,1402,0.1402
40093,7871,08,4.17619789568864,38.496417080767074,5.45,1308.5,0.13085
40094,5829,8A,3.3224869909515293,37.43410900311668,3.79,1326.5,0.13265
40095,8840,08,2.157162535408489,37.77998472827687,3,1308.5,0.13085
40096,7500,12,4.131550857110016,39.12623433484131,3.05,1301.5,0.13015
40097,8223,03,3.3677103454973105,38.812109258563574,2.68,1402,0.1402
40098,8343,07,3.4126286878681515,38.461263155885106,0.15,1298,0.1298
40099,8807,04,1.6692342497781885,37.82025816243923,1.78,1317,0.1317
40100,13428,08,4.939782591362942,38.28510986644758,0.94,1308.5,0.13085
40101,13369,12,4.221165093834523,38.179343488567184,0.45,1301.5,0.13015
40102,4656,03,2.7843516727506334,38.10862459470046,1.36,1402,0.1402
40103,3891,11,2.266035731949668,38.65777972059718,3.22,1291,0.1291
40104,4952,08,2.130547833177215,37.937786054039925,1.68,1308.5,0.13085
40105,4409,03,2.252878100796647,39.30267330960374,7.1,1402,0.1402
40106,8354,02,3.2329630349130762,38.42608475681449,1.24,1600,0.16
40107,7684,06,4.355865296765258,38.81210091489415,1.96,1296,0.1296
40108,11333,04,3.4126186653645267,37.754431281829866,0.97,1317,0.1317
40109,4244,05,2.3795484888797733,38.70703557869949,1.65,1327.5,0.13275
40110,7478,08,4.041457704253032,39.19604855112218,2.76,1308.5,0.13085
40111,8615,06,2.3346369072297604,37.4341310657873,1.68,1296,0.1296
40112,13245,05,5.26556209539739,38.29586905036121,4.27,1327.5,0.13275
40113,13168,8A,4.939809596517011,38.56668422004515,15.95,1326.5,0.13265
40114,8542,08,2.782016658476424,37.825353984405844,4.18,1308.5,0.13085
40115,11163,03,3.816864253260435,38.07335306133323,0.66,1402,0.1402
40116,3939,04,2.2897180079034425,39.021795576934466,8.6,1317,0.1317
40117,13265,08,4.714783975922693,38.093454589331834,0.52,1308.5,0.13085
40118,3834,08,3.1429893588871956,39.26572578808702,27,1308.5,0.13085
40119,7751,03,4.221116112295341,38.671969788406244,5.58,1402,0.1402
40120,5894,07,2.6041327752598424,37.291333624153836,0.43,1298,0.1298
40121,694,11,4.310963118679639,39.40459008768584,2.73,1291,0.1291
40122,11238,05,3.5923364592336386,37.931815240598375,0.87,1327.5,0.13275
40123,4361,05,1.9040894131794546,38.93755590722464,7.66,1327.5,0.13275
40124,7691,07,3.816871844922901,38.77709803711723,1.65,1298,0.1298
40125,4948,08,2.133017880408303,37.97269520601826,2.01,1308.5,0.13085
40126,11181,12,3.816863913697258,38.03798562981419,1.59,1301.5,0.13015
40127,4566,02,1.7355108456144122,38.818450346663816,17.91,1600,0.16
40128,4216,8A,3.4880833709622245,38.205756453634265,2.64,1326.5,0.13265
40129,3747,12,2.9634608643029607,38.8471008381027,3.79,1301.5,0.13015
40130,4488,03,1.917031366019281,39.07604858180829,7.03,1402,0.1402
40131,4684,05,3.232346802306269,38.07362007540469,7.82,1327.5,0.13275
40132,3853,04,2.289386998484181,39.19601087365387,12.21,1317,0.1317
